Color,Suite,Card,Action Card Ideas,Boomer,GenX,Millennial,GenZ,Row total points,SlideURL
,,1,Fawn after a Princess Diana Beanie Baby,0,200,200,-100,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1313
,,2,Wear baggy jeans in public,-100,200,0,300,400,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1300
,,3,Cook a recipe you saw on TikTok,-200,-100,100,300,100,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1287
,,4,Rent Titanic VHS at Blockbuster,100,200,100,0,400,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1274
,,5,Sell your childhood home for a profit,500,300,100,0,900,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1261
,,6,Show off your Rizz on a Instagram story,-200,-100,100,400,200,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1248
,,7,Pay for a 4 year college,-100,-200,-500,-500,-1300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1235
,,8,Play Ms. Pacman at an arcade,-100,200,100,100,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1222
,,9,Operate a record player,500,100,-200,-200,200,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1209
,,10,txtspk only for a whole convo,-200,-100,0,300,0,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1196
,,11,Mow lawns as a summer job,500,300,200,100,1100,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1183
,,12,Watch Seinfeld finale,200,300,100,0,600,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1170
,,13,Say Hi to Tom from Myspace,-100,-100,300,0,100,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1157
,,14,Watch Smosh Youtube videos,-100,-100,300,200,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1144
,,15,Make a TikTok dance video,-100,0,100,500,500,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1131
,,16,Wear Crocs out in public,400,-100,-100,400,600,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1118
,,17,Find an iPod shuffle loaded with Ricky Martin songs,-100,0,300,0,200,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1105
,,18,Change a flat tire,500,100,-100,-200,300,https://docs.google.com/presentation/d/1e21EK2HQOtDeWYYEbPwEEOfHsj_HpTbrU24SQJd0gAU/edit#slide=id.SLIDES_API409134755_1092
